0.28074E+01 0.18651E-02 0.00000E+01 2369695 0 0 133318 0.47481E+05 0.00000E+01 0.28074E+01 0.00000E+01 0.00000E+01 0
87 2.7705 0.017608 0.6425 28.704 2.7705
88 2.8349 0.11738 2.093 162.6 2.8349
89 2.81 0.046582 1.185 71.704 2.81
90 2.8564 0.020263 0.71716 29.385 2.8564
91 2.7852 0.10539 1.9127 114.05 2.7852
92 2.8042 0.043038 1.0971 67.319 2.8042
93 2.8108 0.018696 0.67244 28.919 2.8108
94 2.8002 0.11843 2.1378 160.52 2.8002
95 2.7555 0.038601 1.0014 63.634 2.7555
96 2.8206 0.019626 0.70343 30.338 2.8206
97 2.7989 0.11515 2.0795 134.54 2.7989
98 2.8259 0.045849 1.1598 62.602 2.8259
99 2.81 0.019073 0.68619 29.438 2.81
100 2.8938 0.048887 1.2076 63.846 2.8938
101 2.7871 0.017797 0.64552 28.463 2.7871
102 2.7977 0.007747 0.39588 14.62 2.7977
103 2.7684 0.10182 1.8591 100.38 2.7684
104 2.8132 0.041582 1.0566 59.542 2.8132
105 2.8495 0.020529 0.72832 28.508 2.8495
106 2.8237 0.10705 1.9163 133.54 2.8237
107 2.8342 0.050354 1.27 69.473 2.8342
108 2.8096 0.018751 0.6747 29.133 2.8096
109 2.7769 0.0184 0.66984 31.037 2.7769
110 2.8284 0.0084546 0.42736 14.732 2.8284
111 2.8064 0.0036647 0.26402 7.8522 2.8064
112 2.7233 0.11164 2.0721 166.25 2.7233
113 2.7389 0.036225 0.94546 55.875 2.7389
114 2.8273 0.019399 0.69362 28.232 2.8273
115 2.8894 0.04879 1.2071 64.92 2.8894
116 2.8228 0.01899 0.68009 34.322 2.8228
117 2.8126 0.008132 0.41336 14.485 2.8126
118 2.8346 0.12162 2.1687 171.85 2.8346
119 2.8287 0.044527 1.1253 59.09 2.8287
120 2.804 0.017693 0.6379 27.956 2.804
121 2.7129 0.091411 1.7032 144.69 2.7129
122 2.8031 0.043543 1.1104 66.866 2.8031
123 2.813 0.01887 0.67816 30.599 2.813
124 2.9068 0.13078 2.2742 173.52 2.9068
125 2.8278 0.042129 1.065 63.889 2.8278
126 2.8218 0.019531 0.69972 31.255 2.8218
127 2.7404 0.10971 2.0236 160.89 2.7404
128 2.8317 0.046197 1.1662 63.913 2.8317
129 2.8201 0.018972 0.68011 29.259 2.8201
130 3.1805 0.17221 2.7368 174.06 3.1805
131 2.7706 0.040629 1.0483 53.147 2.7706
132 2.8063 0.017599 0.63399 28.355 2.8063
133 2.7675 0.10079 1.8408 120.03 2.7675
134 2.7892 0.0458 1.1738 67.09 2.7892
135 2.8136 0.019311 0.69387 30.83 2.8136
136 2.885 0.12683 2.2221 153.26 2.885
137 2.7272 0.03713 0.97323 56.413 2.7272
138 2.8241 0.018781 0.67231 28.227 2.8241
139 2.642 0.090551 1.7324 133.71 2.642
140 2.8199 0.044529 1.1288 63.14 2.8199
141 2.7983 0.01884 0.68062 33.636 2.7983
142 3.016 0.13652 2.2881 162.5 3.016
143 2.7718 0.043857 1.1311 69.388 2.7718
144 2.7801 0.018237 0.66317 31.482 2.7801
145 2.8903 0.12543 2.1936 145.56 2.8903
146 2.7775 0.040891 1.0524 66.433 2.7775
147 2.8279 0.019731 0.70536 30.497 2.8279
148 2.8073 0.10251 1.8457 100.2 2.8073
149 2.8148 0.046652 1.1848 68.55 2.8148
150 2.7996 0.018933 0.68366 30.764 2.7996
151 2.7148 0.088437 1.6466 143.15 2.7148
152 2.8114 0.044634 1.1349 69.59 2.8114
153 2.7851 0.018325 0.66514 32.579 2.7851
154 2.841 0.1262 2.2453 173.51 2.841
155 2.7481 0.037558 0.97698 53.517 2.7481
156 2.7886 0.017032 0.61746 28.704 2.7886
157 2.9643 0.1261 2.1502 159.67 2.9643
158 2.7677 0.044063 1.1381 64.284 2.7677
159 2.8303 0.019009 0.67897 28.597 2.8303
160 2.6696 0.087079 1.6488 120.4 2.6696
161 2.7736 0.043075 1.1102 65.6 2.7736
162 2.8507 0.021236 0.75309 32.675 2.8507
163 2.851 0.11666 2.0683 172.66 2.851
164 2.8644 0.049782 1.2423 64.575 2.8644
165 2.8091 0.017795 0.64039 26.694 2.8091
166 2.8487 0.10821 1.92 121.84 2.8487
167 2.7669 0.041909 1.0827 71.132 2.7669
168 2.813 0.01997 0.71766 30.399 2.813
169 2.9138 0.11404 1.9784 120.03 2.9138
170 2.7744 0.040361 1.0399 64.804 2.7744
171 2.8021 0.019314 0.69682 31.181 2.8021
172 2.5895 0.085603 1.6709 154.13 2.5895
173 2.8447 0.04868 1.2233 65.867 2.8447
174 2.8318 0.019248 0.68715 28.989 2.8318
175 2.6808 0.098388 1.8551 121.59 2.6808
176 2.7666 0.043159 1.1151 64.293 2.7666
177 2.7909 0.017954 0.65034 28.605 2.7909
178 2.9096 0.14005 2.433 168.38 2.9096
179 2.7281 0.035002 0.91714 60.62 2.7281
180 2.8458 0.019847 0.70506 28.081 2.8458
181 2.8045 0.096962 1.7476 99.902 2.8045
182 2.7375 0.040239 1.0508 71.073 2.7375
183 2.7938 0.019999 0.72366 32.458 2.7938
184 2.8539 0.11593 2.0534 172.79 2.8539
185 2.7782 0.040428 1.0402 67.159 2.7782
186 2.8196 0.019635 0.70398 31.34 2.8196
187 2.8473 0.13157 2.3357 169.96 2.8473
188 2.8077 0.042384 1.0791 59.692 2.8077
189 2.8145 0.019152 0.68793 29.074 2.8145
190 2.9487 0.13929 2.3877 138.11 2.9487
191 2.8233 0.044654 1.1306 60.378 2.8233
192 2.8363 0.019252 0.68619 28.205 2.8363
193 2.7228 0.099624 1.8495 121.45 2.7228
194 2.7751 0.042661 1.0989 62.762 2.7751
195 2.8193 0.019592 0.70252 28.936 2.8193
196 2.8826 0.10895 1.9105 126.87 2.8826
197 2.791 0.043354 1.1104 58.605 2.791
198 2.797 0.018717 0.67651 30.715 2.797
199 2.6875 0.081829 1.5391 99.426 2.6875
200 2.8748 0.057967 1.4414 77.218 2.8748
201 2.828 0.019593 0.70042 28.499 2.828
202 2.7318 0.09274 1.716 107.2 2.7318
203 2.8212 0.0449 1.1377 60.37 2.8212
204 2.8603 0.021704 0.76712 29.951 2.8603
205 2.7296 0.088951 1.6472 111.21 2.7296
206 2.8082 0.044486 1.1324 65.094 2.8082
207 2.8252 0.020424 0.73085 32.399 2.8252
208 2.8871 0.050539 1.2513 66.401 2.8871
209 2.8254 0.019136 0.68468 28.569 2.8254
210 2.8069 0.0079559 0.40524 14.326 2.8069
211 2.8809 0.12636 2.217 170.86 2.8809
212 2.7667 0.045518 1.1761 67.996 2.7667
213 2.8074 0.018428 0.6636 28.571 2.8074
214 2.9093 0.1304 2.2656 159.97 2.9093
215 2.7918 0.04308 1.1031 63.439 2.7918
216 2.8288 0.019805 0.70777 28.19 2.8288
217 2.8475 0.05053 1.2685 67.531 2.8475
218 2.7989 0.018231 0.6585 28.58 2.7989
219 2.815 0.0078922 0.40083 14.161 2.815
220 2.7383 0.096135 1.7746 135.45 2.7383
221 2.8093 0.043207 1.0994 67.809 2.8093
222 2.8263 0.020055 0.71736 29.958 2.8263
223 2.8865 0.11734 2.0548 147.04 2.8865
224 2.8775 0.051283 1.274 66.19 2.8775
225 2.8187 0.019961 0.71592 30.162 2.8187
226 2.7687 0.10254 1.8721 133.93 2.7687
227 2.8077 0.047995 1.2219 77.562 2.8077
228 2.8304 0.021151 0.75546 32.568 2.8304
229 2.815 0.10772 1.9342 142.78 2.815
230 2.7832 0.039657 1.0186 59.041 2.7832
231 2.7917 0.01904 0.68948 30.994 2.7917
232 2.8448 0.11265 2.0017 115.19 2.8448
233 2.8227 0.045197 1.1446 66.301 2.8227
234 2.8078 0.019149 0.68944 30.974 2.8078
235 2.6176 0.077149 1.4898 98.179 2.6176
236 2.6955 0.03566 0.9457 63.189 2.6955
237 2.8436 0.020275 0.7208 36.429 2.8436
238 2.8738 0.12249 2.1544 173.16 2.8738
239 2.7535 0.040081 1.0405 60.088 2.7535
240 2.7717 0.016934 0.61764 29.548 2.7717
241 2.8303 0.1269 2.2662 166.83 2.8303
242 2.8592 0.049486 1.2372 62.452 2.8592
243 2.8345 0.019078 0.68041 28.916 2.8345
244 2.8529 0.11353 2.0115 145.23 2.8529
245 2.7853 0.039845 1.0226 64.184 2.7853
246 2.7959 0.01959 0.70836 32.888 2.7959
247 2.8683 0.11676 2.0576 150.52 2.8683
248 2.8277 0.047422 1.1988 65.316 2.8277
249 2.8001 0.018407 0.66457 28.651 2.8001
250 2.7177 0.1036 1.9269 142.38 2.7177
251 2.8272 0.04655 1.177 62.243 2.8272
252 2.8232 0.01935 0.69287 34.025 2.8232
253 2.7289 0.083464 1.546 101.46 2.7289
254 2.7683 0.043275 1.1175 74.324 2.7683
255 2.8221 0.020399 0.73074 33.477 2.8221
256 2.8012 0.11243 2.0287 153.22 2.8012
257 2.7926 0.043641 1.1171 66.472 2.7926
258 2.7847 0.01875 0.68068 29.498 2.7847
259 2.8695 0.047609 1.186 67.092 2.8695
260 2.8011 0.017991 0.64929 28.992 2.8011
261 2.8194 0.0083557 0.42371 15.145 2.8194
262 2.9126 0.13497 2.3423 142.89 2.9126
263 2.886 0.051862 1.2846 67.675 2.886
264 2.8462 0.019841 0.70472 28.342 2.8462
265 2.6956 0.08157 1.5296 92.338 2.6956
266 2.7782 0.045064 1.1595 67.234 2.7782
267 2.8133 0.020586 0.73975 32.014 2.8133
268 2.8836 0.11194 1.9623 127.66 2.8836
269 2.8441 0.046033 1.157 70.334 2.8441
270 2.8527 0.020472 0.7255 29.493 2.8527
271 2.8742 0.11581 2.0366 132.28 2.8742
272 2.837 0.046858 1.1807 69.007 2.837
273 2.7957 0.018522 0.66975 28.686 2.7957
274 2.7294 0.079321 1.469 100.83 2.7294
275 2.796 0.044496 1.1376 66.815 2.796
276 2.7834 0.019364 0.70331 32.246 2.7834
